,Combined_Test_acc,Combined_Train_acc,Other_NLL,Other_OT,Test_NLL,Test_OT,Test_Test_acc,Test_Train_acc,Train_NLL,Train_OT,Train_Test_acc,Train_Train_acc,lip_loss,model_Test_acc,model_Train_acc
45,0.55,0.8444444444444444,-214.9017791748047,13.335326194763184,-218.1213836669922,14.7247896194458,0.8875,0.5,-1227.01416015625,13.133453369140625,0.5125,0.9944444444444445,133.3503875732422,0.525,0.9805555555555555
46,0.55,0.8361111111111111,-193.22410583496094,13.342996597290039,-189.3825225830078,14.654747009277344,0.8875,0.5,-1241.4608154296875,13.156998634338379,0.5125,0.9944444444444445,137.2202911376953,0.5125,0.9805555555555555
47,0.55,0.8305555555555556,-151.28855895996094,13.35731029510498,-149.1194305419922,14.641884803771973,0.8875,0.5,-1245.7679443359375,13.135748863220215,0.5125,0.9944444444444445,140.77584838867188,0.525,0.9833333333333333
48,0.55,0.8083333333333333,-123.56411743164062,13.356119155883789,-119.49980926513672,14.647517204284668,0.8875,0.5,-1255.8406982421875,13.134379386901855,0.5125,0.9944444444444445,136.16241455078125,0.5125,0.9833333333333333
49,0.55,0.8055555555555556,-96.28213500976562,13.35042667388916,-91.85041046142578,14.691650390625,0.8875,0.5,-1260.1680908203125,13.150351524353027,0.5125,0.9944444444444445,154.1266326904297,0.5125,0.9833333333333333
50,0.55,0.7972222222222223,-71.16615295410156,13.349928855895996,-69.1574935913086,14.653620719909668,0.8875,0.5,-1271.021484375,13.113066673278809,0.5125,0.9944444444444445,136.3218536376953,0.5125,0.9805555555555555
51,0.55,0.7888888888888889,-45.237003326416016,13.320066452026367,-39.29813766479492,14.697118759155273,0.8875,0.5,-1282.2052001953125,13.131898880004883,0.5125,0.9944444444444445,155.3896942138672,0.5125,0.9833333333333333
52,0.55,0.7722222222222223,-3.7591745853424072,13.334684371948242,7.491101264953613,14.678911209106445,0.8875,0.5,-1284.8515625,13.145027160644531,0.5125,0.9944444444444445,143.5386962890625,0.5125,0.9833333333333333
53,0.5375,0.7694444444444445,17.648799896240234,13.324655532836914,24.1575927734375,14.692689895629883,0.8875,0.5,-1295.7755126953125,13.12155532836914,0.5125,0.9944444444444445,151.76222229003906,0.5125,0.9833333333333333
54,0.55,0.7638888888888888,49.21428680419922,13.376930236816406,59.757972717285156,14.646984100341797,0.8875,0.5,-1296.385986328125,13.130736351013184,0.5125,0.9944444444444445,149.9950408935547,0.5125,0.9888888888888889
55,0.5375,0.7444444444444445,71.46925354003906,13.337532997131348,76.19964599609375,14.708317756652832,0.8875,0.5,-1309.05859375,13.134535789489746,0.5125,0.9944444444444445,169.3203887939453,0.5125,0.9888888888888889
56,0.5375,0.7222222222222222,102.61514282226562,13.378268241882324,113.26960754394531,14.70458984375,0.8875,0.5,-1319.707275390625,13.145421028137207,0.5125,0.9944444444444445,160.94281005859375,0.5125,0.9888888888888889
57,0.5375,0.7138888888888889,165.5423126220703,13.349245071411133,180.15245056152344,14.713313102722168,0.8875,0.5,-1311.3507080078125,13.133726119995117,0.5125,0.9944444444444445,158.9407958984375,0.5125,0.9861111111111112
